site,fftype,covcode,avgelev,avgstep,mean_dist_grass,dist_rav,step1
2,low,1,2379,21,772,107,2
5,low,1,2464,21,495,191,2
6,low,1,2616,17,264,155,2
8,low,2,1952,20,610,107,2
9,low,2,2089,28,125,162,2
10,low,1,2167,30,584,149,2
11,low,2,2204,14,1161,216,1
12,high,2,2096,18,341,142,2
14,high,1,1874,11,100,100,1
16,low,1,2522,16,420,204,2
17,low,1,2531,14,1956,135,1
18,low,1,2460,12,1518,159,1
19,low,1,2621,13,1036,139,1
20,low,2,2482,11,195,185,1
22,low,1,2294,27,712,149,2
24,low,1,1987,22,828,134,2
25,low,1,2506,11,375,229,1
27,low,1,2447,23,976,180,2
32,high,1,2045,7,575,273,1
33,low,3,2496,20,701,169,2
34,med,1,2597,16,59,99,2
35,med,3,2663,12,486,193,1
36,med,3,2704,8,318,119,1
39,low,2,2582,10,832,261,1
40,low,3,2565,9,991,225,1
41,low,3,2772,13,368,235,1
42,high,1,1931,18,95,124,2
45,med,1,2406,16,6786,140,2
50,med,1,2577,11,1172,135,1
66,med,3,2610,8,2399,133,1
99,low,2,2649,15,1055,307,1
74,low,3,2735,14,1656,244,1
47,high,1,1996,17,346,112,2
55,med,3,2500,20,195,100,2
52,med,1,2548,20,762,93,2
51,low,1,2648,35,415,137,2
66,med,3,2688,15,573,250,1
69,med,1,2548,16,2333,132,2
31,high,1,1841,15,232,166,1
63,high,1,1931,18,95,124,2
26,low,1,2300,23,2085,113,2
21,low,1,2355,21,1394,127,2
1,low,1,2398,21,91,207,2
64,med,1,2437,5,327,143,1
37,low,3,2471,15.4,320,149,2
74,med,1,2566,8,3355,99,1
38,low,3,2629,9,1084,218,1
4,low,3,2692,21,163,256,2
77,low,3,2771,17,3281,208,2
